,Accident_Index_x,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Accident_Index_y,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,city
1661142,201501WW51085,527950.0,170670.0,-0.161247,51.420611,1,3,2,1,2015-12-12,7,20:07,10,E09000032,3,217,6,30,3,4,5,0,0,0,4,1,1,0,0,1,1,E01003393,201201TA00522,2,2,1,1,28,6,3,0,0,0,0,0,1,1,London
1661143,201501WW51086,527790.0,175160.0,-0.161928,51.460998,1,3,2,1,2015-12-13,1,17:10,10,E09000032,3,3,6,30,3,4,3,205,0,0,4,1,1,0,0,1,1,E01004554,201201TA00523,1,1,1,1,23,5,2,0,0,0,0,0,3,1,London
1661150,201501WW51095,526020.0,175210.0,-0.187374,51.461844,1,3,2,1,2015-12-13,1,16:10,10,E09000032,3,3205,6,30,3,4,3,3205,0,0,1,1,1,0,0,1,1,E01004509,201201TA00527,1,1,2,2,64,9,2,0,0,0,3,0,11,1,London
1662115,201501XD81115,518290.0,183090.0,-0.295951,51.534332,1,3,2,2,2015-12-12,7,18:30,27,E09000009,3,4005,6,30,3,2,6,0,0,5,4,1,1,0,0,1,1,E01001277,201201TB00419,1,1,1,1,34,6,3,0,0,0,0,0,9,-1,London
1662141,201501XD81147,521390.0,180900.0,-0.252033,51.513992,1,3,1,1,2015-12-13,1,20:49,27,E09000009,3,40,3,40,6,2,6,0,0,5,4,1,1,0,0,1,1,E01001243,201201TB00449,2,1,1,1,22,5,2,0,0,0,0,0,5,1,London
1662146,201501XD81155,518620.0,180540.0,-0.292053,51.511345,1,3,2,2,2015-12-12,7,17:20,27,E09000009,3,406,6,30,6,1,3,4020,0,5,4,2,2,0,0,1,1,E01001234,201201TB00454,1,1,3,1,79,11,2,1,1,0,0,2,0,1,London
1662827,201501XH30883,511780.0,181930.0,-0.390136,51.525231,1,3,2,1,2015-12-12,7,16:43,26,E09000017,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01002543,201201TB01166,2,1,1,1,30,6,2,0,0,0,0,0,3,-1,London
1662830,201501XH30886,506110.0,183150.0,-0.471467,51.537289,1,3,2,1,2015-12-12,7,23:30,26,E09000017,3,4020,3,40,9,2,5,0,0,5,4,2,2,0,0,1,1,E01002414,201201TB01169,2,2,2,1,-1,-1,2,0,0,1,0,0,9,-1,London
1662833,201501XH30889,509660.0,179110.0,-0.421558,51.5003,1,3,2,3,2015-12-13,1,16:30,26,E09000017,3,312,6,30,3,4,6,0,0,0,4,4,2,0,0,1,1,E01002489,201201TB01173,1,1,3,1,28,6,2,5,3,0,0,2,0,1,London
1663573,201501YE80911,532810.0,194800.0,-0.082303,51.636336,1,3,2,2,2015-12-13,1,16:30,32,E09000010,3,105,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01001400,201201TX20051,1,1,3,1,27,6,3,9,5,0,0,2,0,1,London
1663586,201501YE80928,535530.0,197620.0,-0.041932,51.661028,1,3,2,1,2015-12-13,1,20:15,32,E09000010,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01001436,201201TX20058,2,2,1,2,34,6,3,0,0,0,0,0,9,1,London
1664478,201501YR90998,533060.0,190760.0,-0.080225,51.599972,1,3,2,1,2015-12-12,7,10:03,31,E09000014,3,10,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002095,201201VK30085,1,2,2,1,16,4,3,0,0,2,0,0,9,1,London
1665359,201501ZD31044,532400.0,165000.0,-0.099399,51.368635,1,3,1,1,2015-12-13,1,01:25,20,E09000008,3,235,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01001043,201201WW50075,1,1,1,1,45,7,3,0,0,0,0,0,3,1,London
1665411,201501ZD31114,533120.0,159780.0,-0.091012,51.321556,1,3,3,5,2015-12-12,7,12:01,20,E09000008,3,22,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01001068,201201WW50126,1,1,1,1,35,6,3,0,0,0,0,0,3,1,London
1665412,201501ZD31115,532050.0,166820.0,-0.103748,51.385073,1,2,1,1,2015-12-12,7,23:02,20,E09000008,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01001117,201201WW50127,1,1,1,1,49,8,3,0,0,0,0,0,1,1,London
1665416,201501ZD31122,534970.0,167610.0,-0.061511,51.391486,1,3,1,1,2015-12-12,7,22:00,20,E09000008,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01001194,201201WW50132,1,1,1,2,49,8,3,0,0,0,0,0,9,1,London
1665737,201501ZT80386,526560.0,164120.0,-0.18356,51.362057,1,3,1,1,2015-12-12,7,17:00,21,E09000029,6,0,6,30,8,4,6,0,0,0,4,1,1,0,0,1,1,E01004139,201201WW50453,1,1,1,2,32,6,3,0,0,0,0,0,9,1,London
1666953,2015030003033,349730.0,494470.0,-2.774766,54.343288,3,3,1,1,2015-12-12,7,11:07,65,E10000006,3,591,3,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01019346,201201XD80541,1,1,1,1,28,6,3,0,0,0,0,0,9,1,South Lakeland
1666956,2015030003036,324280.0,548040.0,-3.179998,54.82146,3,2,2,1,2015-12-12,7,01:08,60,E10000006,4,5302,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01019135,201201XD80543,1,1,1,1,27,6,3,0,0,0,0,0,1,-1,Allerdale
1666964,2015030003047,342580.0,550980.0,-2.895815,54.850312,3,3,1,1,2015-12-13,1,10:55,62,E10000006,6,0,6,60,6,4,6,0,0,0,1,8,4,0,0,2,1,E01019213,201201XD80549,2,2,2,2,51,8,3,0,0,0,4,0,11,1,Carlisle
1666965,2015030003048,355440.0,519810.0,-2.690766,54.571533,3,3,1,2,2015-12-12,7,11:45,64,E10000006,1,6,3,70,0,-1,-1,0,0,0,1,3,4,0,0,2,1,E01019324,201201XD80549,2,3,2,1,64,9,3,0,0,0,4,0,11,1,Eden
1666969,2015030003057,341760.0,554180.0,-2.909231,54.87897,3,3,2,1,2015-12-13,1,15:14,62,E10000006,6,0,7,30,5,4,6,0,0,0,1,1,2,0,0,1,1,E01019220,201201XD80552,2,1,1,1,29,6,3,0,0,0,0,0,5,1,Carlisle
1666984,2015030003086,356800.0,486250.0,-2.664831,54.270068,3,3,1,1,2015-12-12,7,01:11,65,E10000006,6,0,6,50,0,-1,-1,0,0,0,6,2,2,7,0,2,1,E01019394,201201XD80567,2,2,1,2,27,6,3,0,0,0,0,0,9,1,South Lakeland
1666988,2015030003091,352430.0,494920.0,-2.73331,54.347591,3,3,2,1,2015-12-12,7,14:30,65,E10000006,3,6,6,30,3,4,6,0,0,0,1,1,2,0,0,2,1,E01019365,201201XD80570,1,1,2,2,48,8,3,0,0,1,0,0,9,1,South Lakeland
1666991,2015030003096,336520.0,556030.0,-2.991294,54.894953,3,3,1,1,2015-12-12,7,13:34,62,E10000006,6,0,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01019203,201201XD80573,1,1,1,1,34,6,3,0,0,0,0,0,8,1,Carlisle
1666995,2015030003100,351280.0,530140.0,-2.756828,54.663973,3,3,1,1,2015-12-12,7,10:30,64,E10000006,6,0,6,40,0,-1,-1,0,0,1,1,3,2,0,0,1,2,E01019336,201201XD80574,1,1,1,2,28,6,3,0,0,0,0,0,9,1,
1667023,2015030003151,303920.0,535450.0,-3.492595,54.704865,3,3,1,2,2015-12-13,1,22:40,60,E10000006,6,0,6,30,9,4,6,0,0,0,4,2,2,0,0,2,1,E01019097,201201XD80602,2,3,2,2,7,2,3,0,0,2,0,0,9,1,Allerdale
1667026,2015030003165,358820.0,510410.0,-2.637171,54.487349,3,3,2,2,2015-12-12,7,21:25,64,E10000006,1,6,3,70,0,-1,-1,0,0,0,6,3,3,0,3,2,1,E01019310,201201XD80605,1,1,1,1,24,5,3,0,0,0,0,0,19,1,Eden
1667041,2015030003200,336300.0,563790.0,-2.996446,54.964648,3,3,2,1,2015-12-12,7,12:45,62,E10000006,1,6,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01019226,201201XD80622,1,1,1,1,42,7,3,0,0,0,0,0,9,1,Carlisle
1667045,2015030003214,320140.0,468940.0,-3.223028,54.110114,3,3,1,1,2015-12-13,1,16:00,61,E10000006,6,0,6,30,9,4,-1,-1,0,0,6,8,1,0,0,1,1,E01019143,201201XD80625,1,1,3,2,28,6,3,5,1,0,0,2,0,1,
1667627,201504ED15595,368760.0,430170.0,-2.47541,53.766932,4,3,3,1,2015-12-12,7,18:25,70,E06000008,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01012608,201201XH30140,2,1,2,2,1,1,3,0,0,1,0,0,9,1,
1667644,201504ED15612,368100.0,427960.0,-2.485193,53.747029,4,2,2,1,2015-12-13,1,12:00,70,E06000008,3,674,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01012655,201201XH30152,1,1,1,2,65,9,3,0,0,0,0,0,9,1,
1667651,201504ED15620,372850.0,428210.0,-2.413191,53.749546,4,3,1,1,2015-12-13,1,19:14,75,E10000017,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01025081,201201XH30156,1,2,2,1,47,8,3,0,0,0,3,0,11,-1,Hyndburn
1667675,201504ED15644,369420.0,422870.0,-2.464673,53.701361,4,3,1,1,2015-12-12,7,18:00,70,E06000008,6,0,6,30,5,4,6,0,0,1,4,1,2,0,0,1,1,E01012649,201201XH30177,1,1,1,2,34,6,3,0,0,0,0,0,9,1,
1668047,201504EF15385,379550.0,419970.0,-2.311045,53.675793,4,3,2,1,2015-12-12,7,17:45,82,E10000017,3,56,3,70,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01025358,201201XH30523,1,1,1,2,17,4,3,0,0,0,0,0,9,1,Rossendale
1668888,201504SA15563,354590.0,429670.0,-2.69029,53.761393,4,3,1,1,2015-12-12,7,19:10,79,E10000017,3,6,3,30,9,2,6,0,2,5,4,1,2,0,0,1,1,E01025295,201201YE80425,2,1,1,2,28,6,3,0,0,0,0,0,9,1,Preston
1668891,201504SA15566,352490.0,427070.0,-2.72174,53.737838,4,3,2,1,2015-12-12,7,08:50,83,E10000017,6,0,6,30,8,4,6,0,0,0,1,2,2,0,0,1,1,E01025427,201201YE80425,2,4,2,1,3,1,3,0,0,2,0,0,9,-1,South Ribble
1668903,201504SA15580,353470.0,427180.0,-2.706901,53.738916,4,3,1,1,2015-12-13,1,12:30,83,E10000017,4,5254,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01025450,201201YE80438,1,1,1,1,-1,-1,3,0,0,0,0,0,9,-1,Preston
1669185,201504SB15256,343010.0,408020.0,-2.861943,53.565681,4,3,3,3,2015-12-13,1,16:25,84,E10000017,3,577,6,40,0,-1,-1,0,0,0,4,2,2,5,0,2,1,E01025491,201201YE80699,1,1,3,1,30,6,3,5,1,0,0,2,0,-1,West Lancashire
1669190,201504SB15261,346500.0,406290.0,-2.808958,53.550501,4,3,2,8,2015-12-12,7,18:50,84,E10000017,4,5312,6,40,0,-1,-1,0,0,0,7,8,2,0,0,1,1,E01025526,201201YE80701,4,3,1,2,28,6,3,0,0,0,0,0,9,1,West Lancashire
1669200,201504SB15271,341670.0,407810.0,-2.882133,53.563646,4,3,2,1,2015-12-13,1,12:45,84,E10000017,3,570,6,30,9,4,6,0,0,0,1,2,2,0,0,1,1,E01025490,201201YE80710,1,1,1,1,23,5,3,0,0,0,0,0,9,1,West Lancashire
1669518,201504SC15326,358630.0,420320.0,-2.627759,53.677697,4,3,1,1,2015-12-12,7,13:05,73,E10000017,1,61,3,70,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01024977,201201YR90153,1,2,3,2,28,6,3,5,1,0,0,2,0,1,Chorley
1670032,201504WA15501,333140.0,434560.0,-3.016673,53.803022,4,3,2,1,2015-12-13,1,14:05,71,E06000009,6,0,6,30,6,4,6,0,0,0,1,2,2,3,0,1,1,E01012689,201201YR90636,1,1,1,1,46,8,3,0,0,0,0,0,9,1,
1670035,201504WA15504,331060.0,431820.0,-3.047635,53.778127,4,3,2,1,2015-12-13,1,13:20,74,E10000017,3,5230,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01025024,201201YR90640,1,1,1,2,36,7,3,0,0,0,0,0,9,1,Fylde
1670036,201504WA15505,332460.0,434670.0,-3.02702,53.803922,4,2,3,1,2015-12-13,1,15:00,71,E06000009,3,583,6,30,3,4,6,0,0,1,1,2,2,0,0,1,1,E01012715,201201YR90640,1,2,2,2,15,3,3,0,0,2,0,0,9,1,
1670486,201504WB15440,349750.0,439880.0,-2.765369,53.852706,4,3,1,1,2015-12-12,7,21:50,85,E10000017,6,0,6,60,9,4,6,0,0,0,6,8,2,0,0,2,1,E01025547,201201ZD30339,1,1,1,1,56,9,3,0,0,0,0,0,3,1,Wyre
1670487,201504WB15441,346600.0,463000.0,-2.817304,54.060166,4,3,2,1,2015-12-12,7,16:18,76,E10000017,4,5321,6,30,2,4,6,0,0,0,4,1,2,0,0,1,1,E01025153,201201ZD30340,1,1,1,1,23,5,3,0,0,0,0,0,9,-1,Lancaster
1670498,201504WB15453,344980.0,464850.0,-2.842387,54.076621,4,3,2,2,2015-12-13,1,12:16,76,E10000017,6,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1,E01025087,201201ZD30350,1,1,3,2,-1,-1,3,5,1,0,0,2,0,-1,Lancaster
1670503,201504WB15458,347950.0,462110.0,-2.796529,54.052307,4,3,2,1,2015-12-12,7,14:15,76,E10000017,3,683,2,30,6,2,3,6,0,4,1,2,2,0,0,2,1,E01025093,201201ZD30355,2,1,2,1,22,5,3,0,0,1,0,0,9,1,Lancaster
1670522,201504WB15478,348420.0,460400.0,-2.78906,54.036987,4,3,1,1,2015-12-12,7,18:10,76,E10000017,6,0,6,30,3,4,6,0,0,0,5,1,2,0,0,1,1,E01025126,201201ZD30382,1,2,2,2,44,7,3,0,0,1,0,0,9,1,Lancaster
1673294,2015051503291,339468.0,389344.0,-2.911807,53.397437,5,3,2,5,2015-12-12,7,09:29,91,E08000012,4,5178,3,30,3,2,6,0,0,5,1,2,2,0,0,1,1,E01006589,2012030002740,1,1,1,2,67,10,2,0,0,0,0,0,9,2,Liverpool
1673298,2015051503296,331398.0,391051.0,-3.033524,53.41179,5,3,1,1,2015-12-12,7,15:30,95,E08000015,4,5145,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01007269,2012030002757,1,1,3,1,43,7,1,9,9,0,0,0,0,2,
1673300,2015051503303,344476.0,389596.0,-2.836546,53.400254,5,3,1,1,2015-12-12,7,12:05,90,E08000011,1,62,3,70,0,-1,-1,0,0,0,1,2,5,0,3,2,1,E01006424,2012030002769,1,1,1,1,60,9,3,0,0,0,0,0,21,2,Knowsley
1673303,2015051503309,327741.0,391945.0,-3.088735,53.419335,5,3,2,1,2015-12-13,1,14:20,95,E08000015,6,0,6,40,1,4,3,551,0,0,1,2,2,0,0,1,1,E01007210,2012030002772,2,1,1,1,28,6,3,0,0,0,0,0,1,1,
1673305,2015051503311,340497.0,402735.0,-2.898873,53.517904,5,2,1,1,2015-12-13,1,23:00,93,E08000014,6,0,6,50,3,4,3,506,0,0,4,1,2,0,0,2,1,E01007040,2012030002817,1,1,1,1,28,6,3,0,0,0,0,0,9,2,
1673347,2015051503373,356809.0,398302.0,-2.65227,53.479658,5,3,1,1,2015-12-12,7,06:30,92,E08000013,6,0,9,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01006840,2012030002888,1,1,3,1,88,11,3,4,1,0,0,0,0,1,St Helens
1673397,2015051503463,334098.0,384527.0,-2.991548,53.353501,5,3,2,1,2015-12-13,1,11:01,95,E08000015,3,41,3,40,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01007142,201204AL12013,1,1,1,1,16,4,2,0,0,0,0,0,2,1,
1673740,201506A009771,385650.0,398750.0,-2.217721,53.485267,6,3,2,1,2015-12-12,7,17:25,102,E08000003,5,0,3,30,3,4,6,0,0,0,4,5,2,0,0,1,1,E01005133,201204AM12070,2,1,1,1,31,6,3,0,0,0,0,0,1,1,Manchester
1673756,201506A010597,384420.0,400390.0,-2.236339,53.499973,6,2,2,3,2015-12-12,7,20:20,102,E08000003,3,665,3,30,7,2,3,6010,0,5,4,1,2,0,0,1,2,E01005147,201204AM12081,1,1,1,1,14,3,3,0,0,0,0,0,1,1,Manchester
1674068,201506E009396,382950.0,397250.0,-2.258328,53.471704,6,2,1,1,2015-12-12,7,01:10,102,E08000003,3,56,1,30,1,2,3,56,0,5,4,1,1,0,0,1,1,E01033672,201204AN12126,1,1,1,1,80,11,3,0,0,0,0,0,9,1,Manchester
1674315,201506F009436,376340.0,398330.0,-2.357988,53.481154,6,3,1,1,2015-12-13,1,18:32,107,E08000006,6,0,6,30,3,4,3,57,0,0,4,2,2,0,0,1,1,E01005603,201204BA12046,1,2,2,1,17,4,3,0,0,1,0,0,9,1,Salford
1674768,201506J009860,386560.0,386800.0,-2.203494,53.37788,6,3,2,1,2015-12-12,7,04:10,109,E08000007,6,0,6,30,0,-1,-1,0,0,0,4,9,2,0,0,1,2,E01005777,201204BC12025,2,1,3,1,45,7,3,6,9,0,0,0,0,-1,
1675578,201506M009411,380380.0,391820.0,-2.296704,53.422807,6,3,2,1,2015-12-13,1,11:40,112,E08000009,3,6144,6,30,3,4,4,5397,0,0,1,1,2,0,0,1,1,E01006178,201204CJ12125,1,3,2,2,13,3,3,0,0,2,0,0,9,1,Trafford
1676234,201506Q009827,389940.0,403920.0,-2.15324,53.531838,6,3,2,2,2015-12-12,7,09:13,104,E08000004,3,663,3,40,6,2,5,0,0,5,1,2,2,0,0,1,1,E01005332,201204DA12056,2,1,1,1,41,7,3,0,0,0,0,0,1,3,
1678751,2015075370779,351045.0,383930.0,-2.736878,53.34998,7,3,2,4,2015-12-12,7,06:36,124,E06000006,3,533,3,40,0,-1,-1,0,0,0,4,2,2,0,0,2,1,E01012441,201204TA12146,2,1,1,1,45,7,3,0,0,0,0,0,9,1,
1678752,2015075371297,350875.0,382956.0,-2.73928,53.34121,7,3,1,1,2015-12-12,7,18:07,124,E06000006,3,533,7,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01012431,201204TA12146,4,2,1,1,49,8,3,0,0,0,0,0,9,1,
1678753,2015075371336,350610.0,386213.0,-2.743769,53.370459,7,3,2,1,2015-12-12,7,18:30,124,E06000006,4,5178,6,30,3,4,6,0,0,8,4,1,2,0,0,1,1,E01012427,201204TA12147,1,1,1,1,34,6,3,0,0,0,0,0,9,1,
1678754,2015075371344,351363.0,383029.0,-2.731962,53.341911,7,3,1,1,2015-12-12,7,18:30,124,E06000006,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01012430,201204TA12147,1,2,2,2,35,6,3,0,0,1,0,0,9,1,
1678755,2015075371396,343107.0,368568.0,-2.853355,53.211114,7,3,2,1,2015-12-12,7,19:45,130,E06000050,3,56,1,50,1,4,1,53,0,0,4,1,2,0,0,2,1,E01018358,201204TA12148,2,1,1,2,32,6,3,0,0,0,0,0,9,1,Chester
1678756,2015075371525,384325.0,378506.0,-2.236676,53.303266,7,3,1,1,2015-12-12,7,22:50,129,E06000049,6,0,6,30,3,4,4,5087,0,0,4,1,2,0,0,1,1,E01018574,201204TA12148,2,2,2,1,11,3,3,0,0,2,0,0,9,1,
1678757,2015075372061,365881.0,373632.0,-2.512908,53.258586,7,3,2,1,2015-12-13,1,13:30,130,E06000050,3,533,6,30,6,2,3,5509,0,4,1,2,2,0,0,1,1,E01018714,201204TA12148,2,3,2,2,16,4,3,0,0,2,0,0,9,1,
1678758,2015075372264,362677.0,367153.0,-2.560173,53.200134,7,3,2,2,2015-12-13,1,12:00,130,E06000050,5,614,6,60,0,-1,-1,0,0,0,1,1,2,4,0,1,2,E01018737,201204TA12149,2,1,1,2,49,8,3,0,0,0,0,0,9,1,
1678760,2015075372840,362779.0,387295.0,-2.561014,53.381184,7,3,1,1,2015-12-12,7,14:13,128,E06000007,3,50,2,30,0,-1,-1,0,0,1,1,2,2,0,0,1,2,E01012507,201204TA12151,1,1,1,1,62,9,2,0,0,0,0,0,9,2,
1681816,2015100758715,431709.0,576277.0,-1.504864,55.079936,10,3,1,1,2015-12-12,7,22:00,139,E06000048,3,190,6,60,3,4,6,9706,0,0,4,2,2,0,0,2,2,E01027417,201205EE02789,1,1,1,1,29,6,3,0,0,0,0,0,3,1,
1681824,2015100760915,438561.0,558524.0,-1.399929,54.919931,10,2,1,1,2015-12-12,7,09:05,150,E08000024,4,1291,6,30,2,4,4,1291,0,8,1,1,2,0,0,1,1,E01033075,201205EE02817,1,1,3,2,28,6,3,5,1,0,0,0,0,-1,Sunderland
1681830,2015100762215,438044.0,564332.0,-1.407227,54.972159,10,3,1,1,2015-12-12,7,16:10,149,E08000023,6,3112,2,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01008634,201205EE02858,1,1,1,1,58,9,3,0,0,0,0,0,9,-1,South Tyneside
1681840,2015100765315,439701.0,556814.0,-1.38238,54.904476,10,3,1,1,2015-12-12,7,16:15,150,E08000024,5,553,6,30,9,2,6,5255,0,4,4,2,2,0,0,1,2,E01008703,201205EE02897,2,3,2,1,22,5,2,0,0,2,0,0,9,1,Sunderland
1681845,2015100766915,399899.0,652730.0,-2.003178,55.767912,10,3,1,3,2015-12-12,7,14:10,139,E06000048,5,424,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01027377,201205EE02927,1,1,1,1,52,8,3,0,0,0,0,0,9,-1,
1681848,2015100767315,424231.0,563450.0,-1.623075,54.965093,10,2,2,1,2015-12-12,7,07:47,147,E08000021,3,695,6,30,3,4,6,1007,0,0,4,1,2,0,0,1,1,E01008438,201205EE02946,1,3,2,1,50,8,2,0,0,2,0,0,9,1,Newcastle upon Tyne
1681850,2015100767815,435417.0,568278.0,-1.447776,55.00781,10,3,2,1,2015-12-13,1,11:00,148,E08000022,6,2068,6,30,6,4,6,2068,0,0,1,1,2,0,0,1,1,E01008524,201205EE02946,2,2,2,2,51,8,3,0,0,1,0,0,9,1,North Tyneside
1681858,2015100770615,437863.0,553886.0,-1.411426,54.878308,10,3,2,1,2015-12-13,1,13:00,150,E08000024,6,5099,6,30,3,4,6,5099,0,0,1,1,2,0,0,1,2,E01008809,201205EE02964,1,1,1,1,16,4,3,0,0,0,0,0,2,-1,Sunderland
1681870,2015100774815,398133.0,570765.0,-2.030742,55.031406,10,3,2,3,2015-12-12,7,14:11,139,E06000048,3,68,6,60,0,-1,-1,0,0,0,1,3,3,0,0,2,1,E01027495,201205EE03012,1,3,1,2,26,6,3,0,0,0,0,0,9,-1,
1681900,2015100780715,429384.0,554324.0,-1.543523,54.882811,10,3,1,1,2015-12-12,7,18:15,150,E08000024,5,502,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01008866,201205EE03111,2,3,2,1,12,3,3,0,0,1,0,0,9,-1,
1681902,2015100781515,399345.0,585810.0,-2.011822,55.166604,10,3,1,1,2015-12-12,7,15:00,139,E06000048,5,195,6,60,0,-1,-1,0,0,0,1,3,3,0,0,2,2,E01027479,201205EE03121,1,1,3,1,49,8,3,8,3,0,0,0,0,1,
1681903,2015100781915,415912.0,566840.0,-1.752818,54.995889,10,3,1,1,2015-12-12,7,11:03,147,E08000021,4,6528,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01008405,201205EE03156,1,1,3,1,25,5,3,5,1,0,0,0,0,1,Newcastle upon Tyne
1681912,2015100785515,422523.0,561343.0,-1.649915,54.946239,10,3,3,1,2015-12-12,7,14:30,146,E08000020,5,307,6,30,0,-1,-1,0,0,0,4,3,3,0,0,1,2,E01008207,201205EE03201,2,2,1,1,29,6,3,0,0,0,0,0,9,1,Gateshead
1681921,2015100787215,437948.0,556357.0,-1.409777,54.900505,10,3,2,1,2015-12-12,7,00:01,150,E08000024,3,183,6,30,6,2,5,512,0,0,5,3,2,0,0,1,1,E01008759,201205EE03225,1,3,2,2,61,9,3,0,0,0,4,0,11,-1,Sunderland
1681951,2015100796715,414587.0,558849.0,-1.773931,54.924121,10,3,2,1,2015-12-12,7,00:04,146,E08000020,6,4048,6,30,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01008183,201205EE03304,1,1,1,1,61,9,2,0,0,0,0,0,19,1,Gateshead
1681960,2015100799315,437746.0,555219.0,-1.413075,54.890294,10,3,2,1,2015-12-13,1,12:55,150,E08000024,3,690,3,30,3,4,6,5174,0,5,1,1,1,0,0,1,1,E01008826,201205EE03353,2,1,2,2,25,5,3,0,0,0,4,0,11,1,Sunderland
1681967,2015100801415,420449.0,561294.0,-1.682296,54.945888,10,3,2,1,2015-12-12,7,16:35,146,E08000020,6,4141,6,30,0,-1,-1,0,0,0,4,3,3,0,0,1,2,E01008263,201205EE03362,2,6,2,2,52,8,2,0,0,1,0,0,9,1,Gateshead
1681973,2015100802315,424922.0,564019.0,-1.612233,54.970173,10,3,2,3,2015-12-13,1,05:15,147,E08000021,3,186,6,20,3,2,4,1307,0,5,4,1,1,0,0,1,1,E01033545,201205EE03376,1,5,2,1,40,7,3,0,0,2,0,0,8,-1,Newcastle upon Tyne
1681981,2015100806215,424104.0,571316.0,-1.624399,55.035783,10,3,2,2,2015-12-12,7,14:20,147,E08000021,3,1056,1,30,1,4,4,1318,0,0,1,8,3,0,0,2,2,E01033551,201205EE03400,2,1,1,2,23,5,3,0,0,0,0,0,9,-1,Newcastle upon Tyne
1682006,2015100812415,435117.0,561850.0,-1.453252,54.950071,10,2,3,1,2015-12-13,1,17:10,149,E08000023,4,1298,6,30,3,4,6,3015,0,0,4,2,2,0,0,1,1,E01008610,201205EE03584,2,2,2,1,27,6,3,0,0,1,0,0,9,-1,South Tyneside
1682028,2015100820115,436734.0,556481.0,-1.428691,54.90171,10,3,2,2,2015-12-12,7,14:04,150,E08000024,5,511,6,30,1,4,4,1405,0,0,1,3,3,0,0,1,2,E01008812,201205EE03703,1,8,2,2,20,4,3,0,0,0,3,0,11,-1,Sunderland
1682057,2015100830215,424648.0,566854.0,-1.61627,54.995661,10,3,2,1,2015-12-13,1,07:50,147,E08000021,4,1318,1,50,1,4,3,189,0,8,4,1,2,0,0,1,1,E01008422,201205EE03829,2,1,1,1,50,8,3,0,0,0,0,0,9,-1,Newcastle upon Tyne
1682284,201511ND26805,427247.0,545647.0,-1.577645,54.804959,11,3,2,2,2015-12-12,7,16:30,169,E06000047,6,0,6,30,3,4,6,0,0,0,4,3,3,0,0,1,2,E01020709,201205EE04669,2,1,1,1,39,7,3,0,0,0,0,0,3,-1,Durham
1682501,201511NG26825,423325.0,551865.0,-1.638159,54.861032,11,3,1,1,2015-12-12,7,15:45,169,E06000047,5,84,6,30,0,-1,-1,0,0,0,1,3,3,0,0,2,2,E01020606,201205EE05645,2,1,1,2,19,4,3,0,0,0,0,0,9,1,
